Dipodomys ordii#name	10020#species	10016#genus	38662#subfamily	10015#family	33553#suborder	9989#order	314147#norank_314147	314146#superorder	1437010#norank_1437010	9347#norank_9347	32525#norank_32525	40674#class	32524#norank_32524	32523#norank_32523	1338369#norank_1338369	8287#norank_8287	117571#norank_117571	117570#norank_117570	7776#norank_7776	7742#norank_7742	89593#subphylum	7711#phylum	33511#norank_33511	33213#norank_33213	6072#norank_6072	33208#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA
Mus musculus#name	10090#species	862507#subgenus	10088#genus	39107#subfamily	10066#family	337687#norank_337687	33553#suborder	9989#order	314147#norank_314147	314146#superorder	1437010#norank_1437010	9347#norank_9347	32525#norank_32525	40674#class	32524#norank_32524	32523#norank_32523	1338369#norank_1338369	8287#norank_8287	117571#norank_117571	117570#norank_117570	7776#norank_7776	7742#norank_7742	89593#subphylum	7711#phylum	33511#norank_33511	33213#norank_33213	6072#norank_6072	33208#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA
Rattus norvegicus#name	10116#species	10114#genus	39107#subfamily	10066#family	337687#norank_337687	33553#suborder	9989#order	314147#norank_314147	314146#superorder	1437010#norank_1437010	9347#norank_9347	32525#norank_32525	40674#class	32524#norank_32524	32523#norank_32523	1338369#norank_1338369	8287#norank_8287	117571#norank_117571	117570#norank_117570	7776#norank_7776	7742#norank_7742	89593#subphylum	7711#phylum	33511#norank_33511	33213#norank_33213	6072#norank_6072	33208#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA
Cavia porcellus#name	10141#species	10140#genus	10139#family	33550#suborder	9989#order	314147#norank_314147	314146#superorder	1437010#norank_1437010	9347#norank_9347	32525#norank_32525	40674#class	32524#norank_32524	32523#norank_32523	1338369#norank_1338369	8287#norank_8287	117571#norank_117571	117570#norank_117570	7776#norank_7776	7742#norank_7742	89593#subphylum	7711#phylum	33511#norank_33511	33213#norank_33213	6072#norank_6072	33208#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trichoplax adhaerens#name	10228#species	10227#genus	10226#phylum	33208#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vavraia culicis#name	103449#species	35235#genus	35232#family	6036#suborder	6029#phylum	4751#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Postia placenta#name	104341#species	83235#genus	83233#family	5303#order	355688#norank_355688	155619#class	5302#subphylum	5204#phylum	451864#subkingdom	4751#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spizellomyces punctatus#name	109760#species	4815#genus	34479#family	34478#order	451435#class	4761#phylum	4751#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Batrachochytrium dendrobatidis#name	109871#species	100474#genus	1142503#norank_1142503	451442#order	451435#class	4761#phylum	4751#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pediculus humanus#name	121225#species	121222#genus	121221#family	30005#suborder	85819#order	1930602#superorder	33342#infraclass	33340#subclass	7496#norank_7496	85512#norank_85512	50557#class	6960#superclass	197562#norank_197562	197563#norank_197563	6656#phylum	88770#norank_88770	1206794#norank_1206794	33317#norank_33317	33213#norank_33213	6072#norank_6072	33208#kingdom	33154#norank_33154	2759#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prochlorococcus marinus#name	1219#species	1218#genus	1213#family	1890424#order	1117#phylum	1798711#norank_1798711	1783272#norank_1783272	2#superkingdom	131567#norank_131567	1#norank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
