ncbiID	fullName	rank	parentID
10020	Dipodomys ordii	species	10016
10016	Dipodomys	genus	38662
38662	Dipodomyinae	subfamily	10015
10015	Heteromyidae	family	33553
33553	Sciurognathi	suborder	9989
9989	Rodentia	order	314147
314147	Glires	norank	314146
314146	Euarchontoglires	superorder	1437010
1437010	Boreoeutheria	norank	9347
9347	Eutheria	norank	32525
32525	Theria	norank	40674
40674	Mammalia	class	32524
32524	Amniota	norank	32523
32523	Tetrapoda	norank	1338369
1338369	Dipnotetrapodomorpha	norank	8287
8287	Sarcopterygii	norank	117571
117571	Euteleostomi	norank	117570
117570	Teleostomi	norank	7776
7776	Gnathostomata	norank	7742
7742	Vertebrata	norank	89593
89593	Craniata	subphylum	7711
7711	Chordata	phylum	33511
33511	Deuterostomia	norank	33213
33213	Bilateria	norank	6072
6072	Eumetazoa	norank	33208
33208	Metazoa	kingdom	33154
33154	Opisthokonta	norank	2759
2759	Eukaryota	superkingdom	131567
131567	cellular organisms	norank	1
10090	Mus musculus	species	862507
862507	Mus	subgenus	10088
10088	Mus	genus	39107
39107	Murinae	subfamily	10066
10066	Muridae	family	337687
337687	Muroidea	norank	33553
10116	Rattus norvegicus	species	10114
10114	Rattus	genus	39107
10141	Cavia porcellus	species	10140
10140	Cavia	genus	10139
10139	Caviidae	family	33550
33550	Hystricognathi	suborder	9989
10228	Trichoplax adhaerens	species	10227
10227	Trichoplax	genus	10226
10226	Placozoa	phylum	33208
103449	Vavraia culicis	species	35235
35235	Vavraia	genus	35232
35232	Pleistophoridae	family	6036
6036	Pansporoblastina	suborder	6029
6029	Microsporidia	phylum	4751
4751	Fungi	kingdom	33154
104341	Postia placenta	species	83235
83235	Postia	genus	83233
83233	Coriolaceae	family	5303
5303	Polyporales	order	355688
355688	Agaricomycetes incertae sedis	norank	155619
155619	Agaricomycetes	class	5302
5302	Agaricomycotina	subphylum	5204
5204	Basidiomycota	phylum	451864
451864	Dikarya	subkingdom	4751
109760	Spizellomyces punctatus	species	4815
4815	Spizellomyces	genus	34479
34479	Spizellomycetaceae	family	34478
34478	Spizellomycetales	order	451435
451435	Chytridiomycetes	class	4761
4761	Chytridiomycota	phylum	4751
109871	Batrachochytrium dendrobatidis	species	100474
100474	Batrachochytrium	genus	1142503
1142503	Rhizophydiales incertae sedis	norank	451442
451442	Rhizophydiales	order	451435
121225	Pediculus humanus	species	121222
121222	Pediculus	genus	121221
121221	Pediculidae	family	30005
30005	Anoplura	suborder	85819
85819	Phthiraptera	order	1930602
1930602	Psocodea	superorder	33342
33342	Paraneoptera	infraclass	33340
33340	Neoptera	subclass	7496
7496	Pterygota	norank	85512
85512	Dicondylia	norank	50557
50557	Insecta	class	6960
6960	Hexapoda	superclass	197562
197562	Pancrustacea	norank	197563
197563	Mandibulata	norank	6656
6656	Arthropoda	phylum	88770
88770	Panarthropoda	norank	1206794
1206794	Ecdysozoa	norank	33317
33317	Protostomia	norank	33213
1219	Prochlorococcus marinus	species	1218
1218	Prochlorococcus	genus	1213
1213	Prochloraceae	family	1890424
1890424	Synechococcales	order	1117
1117	Cyanobacteria	phylum	1798711
1798711	Cyanobacteria/Melainabacteria group	norank	1783272
1783272	Terrabacteria group	norank	2
2	Bacteria	superkingdom	131567
1288291	Anncaliia algerae PRA339	norank	723287
723287	Anncaliia algerae	species	311453
311453	Anncaliia	genus	307623
307623	Tubulinosematidae	family	6032
6032	Apansporoblastina	suborder	6029
132908	Pteropus vampyrus	species	9401
9401	Pteropus	genus	77225
77225	Pteropodinae	subfamily	9398
9398	Pteropodidae	family	30559
30559	Megachiroptera	suborder	9397
9397	Chiroptera	order	314145
314145	Laurasiatheria	superorder	1437010
13563	Heterobasidion annosum	species	256003
256003	Heterobasidion annosum species complex	norank	13562
