ncbiID	fullName	rank	parentID
92000001	Acinetobacter baumannii 0	norank	470
92000002	Acinetobacter baumannii 071	norank	470
92000003	Acinetobacter baumannii 080	norank	470
92000004	Acinetobacter baumannii 1	norank	470
92000005	Acinetobacter baumannii 1007214	norank	470
92000006	Acinetobacter baumannii 1008_ABAU	norank	470
92000007	Acinetobacter baumannii 1022959	norank	470
92000008	Acinetobacter baumannii 1031433	norank	470
92000009	Acinetobacter baumannii 1032241	norank	470
92000010	Acinetobacter baumannii 1035119	norank	470
92000011	Acinetobacter baumannii 1036938	norank	470
92000012	Acinetobacter baumannii 1038_ABAU	norank	470
92000013	Acinetobacter baumannii 1039_ABAU	norank	470
92000014	Acinetobacter baumannii 1039621	norank	470
92000015	Acinetobacter baumannii 103SM	norank	470
92000016	Acinetobacter baumannii 1040094	norank	470
92000017	Acinetobacter baumannii 1042969-1197	norank	470
92000018	Acinetobacter baumannii 1042969-1265	norank	470
92000019	Acinetobacter baumannii 1043794	norank	470
92000020	Acinetobacter baumannii 1043903	norank	470
92000021	Acinetobacter baumannii 10441_14	norank	470
92000022	Acinetobacter baumannii 1045092	norank	470
92000023	Acinetobacter baumannii 1046051	norank	470
92000024	Acinetobacter baumannii 1046674	norank	470
92000025	Acinetobacter baumannii 1051176	norank	470
92000026	Acinetobacter baumannii 1051830	norank	470
92000027	Acinetobacter baumannii 10519	norank	470
92000028	Acinetobacter baumannii 1054_ABAU	norank	470
92000029	Acinetobacter baumannii 1058283	norank	470
92000030	Acinetobacter baumannii 1062314	norank	470
92000031	Acinetobacter baumannii 1064293_45	norank	470
92000032	Acinetobacter baumannii 1064293_46	norank	470
92000033	Acinetobacter baumannii 1075025	norank	470
92000034	Acinetobacter baumannii 107m	norank	470
92000035	Acinetobacter baumannii 1095464	norank	470
92000036	Acinetobacter baumannii 1096934	norank	470
92000037	Acinetobacter baumannii 1106579	norank	470
92000038	Acinetobacter baumannii 110912	norank	470
92000039	Acinetobacter baumannii 11126	norank	470
92000040	Acinetobacter baumannii 1117819	norank	470
92000041	Acinetobacter baumannii 1121032	norank	470
92000042	Acinetobacter baumannii 1146103	norank	470
92000043	Acinetobacter baumannii 11502	norank	470
92000044	Acinetobacter baumannii 11510	norank	470
92000045	Acinetobacter baumannii 1153_ABAU	norank	470
92000046	Acinetobacter baumannii 11536	norank	470
92000047	Acinetobacter baumannii 11547	norank	470
92000048	Acinetobacter baumannii 11551	norank	470
92000049	Acinetobacter baumannii 1159076	norank	470
92000050	Acinetobacter baumannii 11598	norank	470
92000051	Acinetobacter baumannii 11606	norank	470
92000052	Acinetobacter baumannii 1168_ABAU	norank	470
92000053	Acinetobacter baumannii 1170863	norank	470
92000054	Acinetobacter baumannii 1178044	norank	470
92000055	Acinetobacter baumannii 118362	norank	470
92000056	Acinetobacter baumannii 1188188	norank	470
92000057	Acinetobacter baumannii 1195185_11	norank	470
92000058	Acinetobacter baumannii 1195185_80	norank	470
92000059	Acinetobacter baumannii 1202252	norank	470
92000060	Acinetobacter baumannii 1207552	norank	470
92000061	Acinetobacter baumannii 121738	norank	470
92000062	Acinetobacter baumannii 1232509	norank	470
92000063	Acinetobacter baumannii 1237202	norank	470
92000064	Acinetobacter baumannii 1237893	norank	470
92000065	Acinetobacter baumannii 1247182	norank	470
92000066	Acinetobacter baumannii 1262761-105	norank	470
92000067	Acinetobacter baumannii 1262761-97	norank	470
92000068	Acinetobacter baumannii 1264936	norank	470
92000069	Acinetobacter baumannii 1266220	norank	470
92000070	Acinetobacter baumannii 1267820	norank	470
92000071	Acinetobacter baumannii 1271213	norank	470
92000072	Acinetobacter baumannii 1271651	norank	470
92000073	Acinetobacter baumannii 1276470-132	norank	470
92000074	Acinetobacter baumannii 1276470-86	norank	470
92000075	Acinetobacter baumannii 1277411	norank	470
92000076	Acinetobacter baumannii 1284800	norank	470
92000077	Acinetobacter baumannii 1287985	norank	470
92000078	Acinetobacter baumannii 1289546	norank	470
92000079	Acinetobacter baumannii 1291820	norank	470
92000080	Acinetobacter baumannii 1293320	norank	470
92000081	Acinetobacter baumannii 1294217	norank	470
92000082	Acinetobacter baumannii 1294222	norank	470
92000083	Acinetobacter baumannii 1295549	norank	470
92000084	Acinetobacter baumannii 1295743	norank	470
92000085	Acinetobacter baumannii 1296252	norank	470
92000086	Acinetobacter baumannii 1297	norank	470
92000087	Acinetobacter baumannii 1297549	norank	470
92000088	Acinetobacter baumannii 13	norank	470
92000089	Acinetobacter baumannii 136706	norank	470
92000090	Acinetobacter baumannii 1391434	norank	470
92000091	Acinetobacter baumannii 1392509	norank	470
92000092	Acinetobacter baumannii 1397084	norank	470
92000093	Acinetobacter baumannii 1397513	norank	470
92000094	Acinetobacter baumannii 1406182	norank	470
92000095	Acinetobacter baumannii 1406589	norank	470
92000096	Acinetobacter baumannii 1406750	norank	470
92000097	Acinetobacter baumannii 1412924	norank	470
92000098	Acinetobacter baumannii 1413735	norank	470
92000099	Acinetobacter baumannii 1417041	norank	470
92000100	Acinetobacter baumannii 1419130	norank	470
92000101	Acinetobacter baumannii 14216	norank	470
92000102	Acinetobacter baumannii 1426993	norank	470
92000103	Acinetobacter baumannii 1428368	norank	470
92000104	Acinetobacter baumannii 1429530	norank	470
