ncbiID	fullName	rank	parentID
1485	Clostridium	genus	31979
395961	Cyanothece sp. PCC 7425	species	43988
41937	Sapindales	order	91836
37884	Rhytidhysteron	genus	100025
1930602	Psocodea	superorder	33342
374468	Nakaseomyces	genus	4893
10114	Rattus	genus	39107
5206	Cryptococcus	genus	1884633
10116	Rattus norvegicus	species	10114
4006	Linum usitatissimum	species	4005
146891	Prochlorococcus marinus str. AS9601	norank	1219
31276	Perkinsus marinus	species	28000
167539	Prochlorococcus marinus subsp. marinus str. CCMP1375	norank	142554
944	Ehrlichia canis	species	106178
9978	Ochotona princeps	species	9977
1329799	Archelosauria	norank	32561
809	Chlamydiaceae	family	51291
777	Coxiella burnetii	species	776
1783276	DPANN group	norank	2157
5346	Coprinopsis cinerea	species	184431
5260	Melampsora	genus	5259
5094	Talaromyces	genus	28568
74546	Prochlorococcus marinus str. MIT 9312	norank	1219
3754	Prunus	genus	721805
4479	Poaceae	family	38820
9668	Mustela putorius	species	9665
5500	Coccidioides	genus	1593277
561967	Lepidopterella	genus	281106
976	Bacteroidetes	phylum	68336
723287	Anncaliia algerae	species	311453
1182	Scytonemataceae	family	1161
1329912	Episquamata	norank	1329950
5569	Cenococcum	genus	603431
27339	Cladonia grayi	species	5199
651142	unclassified Thaumarchaeota	norank	651137
7776	Gnathostomata	norank	7742
2870	Phaeophyceae	phylum	569578
51292	Capitellidae	family	6342
58024	Spermatophyta	norank	78536
204429	Chlamydiia	class	204428
43687	Metallosphaera sedula	species	41980
40559	Botrytis cinerea	species	33196
387092	Nitratiruptor sp. SB155-2	species	269258
1033997	Nitrososphaeraceae	family	1033996
1168546	Myriangium duriaei CBS 260.36	norank	147570
76071	Beloniformes	order	1489913
373994	Rivularia sp. PCC 7116	species	373984
1158	Oscillatoria	genus	1892254
548648	Dothidotthiaceae	family	92860
586132	Nematocida	genus	469895
33630	Alveolata	norank	2759
313602	unclassified Flavobacteriales	norank	200644
766	Rickettsiales	order	28211
561	Escherichia	genus	543
32036	sulfur-oxidizing symbionts	norank	118884
379583	Feliformia	suborder	33554
8287	Sarcopterygii	norank	117571
588673	Solirubrobacterales	order	1497346
53527	Culex	subgenus	7174
55153	Sciuridae	family	33553
33386	Macrosiphini	tribe	133076
9977	Ochotona	genus	9976
28568	Trichocomaceae	family	5042
74318	Maricaulis maris	species	74317
5765	Vahlkampfiidae	family	41165
48302	grimshawi group	speciesgroup	48301
548651	Dothidotthia	genus	548648
227086	Bigelowiella natans	species	227085
5507	Fusarium oxysporum	species	171631
2257	Natronomonas pharaonis	species	63743
5076	Penicillium chrysogenum	species	254878
506	Alcaligenaceae	family	80840
5022	Leptosphaeria maculans	species	220671
9397	Chiroptera	order	314145
517	Bordetella	genus	506
75739	Eucoccidiorida	order	5796
5148	Sordariaceae	family	5139
6656	Arthropoda	phylum	88770
147428	Paniceae	tribe	1648036
1150	Oscillatoriales	order	1301283
372781	Fischerella muscicola SAG 1427-1 = PCC 73103	norank	92938
159087	Dechloromonas aromatica RCB	norank	259537
84642	Aeromonadaceae	family	135624
5664	Leishmania major	species	38581
192875	Capsaspora owczarzaki	species	192874
145260	Methanothermobacter	genus	2159
27592	Bovinae	subfamily	9895
589351	Hemiselmidaceae	family	589350
404	Methylobacillus	genus	32011
147570	Myriangium duriaei	species	147569
68525	delta/epsilon subdivisions	subphylum	1224
82654	Pseudanabaena sp. PCC 7367	species	1152
475327	Bombycinae	subfamily	7089
9810	Hyracoidea	order	311790
118323	Oscillatoria acuminata	species	1158
5660	Leishmania braziliensis	species	37617
103449	Vavraia culicis	species	35235
6293	Wuchereria bancrofti	species	6292
5658	Leishmania	genus	1286322
94695	Methanosarcinales	order	224756
199306	Coccidioides posadasii	species	5500
44471	Microcoleus	genus	1892252
39416	Tuber melanosporum	species	36048
33385	Aphidoidea	superfamily	143961
13641	Polysphondylium	genus	33083
55824	Hirudinida	class	42113
117187	Fusarium verticillioides	species	171627
30559	Megachiroptera	suborder	9397
46769	Cenarchaeum	genus	205957
33170	Eremothecium	genus	4893
1176649	Agrobacterium fabrum	species	1183400
6180	Strigeidida	order	6179
235883	Manihoteae	tribe	235631
1186	Calothrix	genus	1185
5503	Curvularia lunata	species	5502
35510	Equus	subgenus	9789
6127	Acropora	genus	6126
8825	Neognathae	superorder	8782
306281	Fischerella muscicola PCC 7414	norank	92938
4769	Saprolegnia	genus	4764
7069	Tribolium	genus	1304792
163735	Phaseoleae	tribe	3814
5570	Cenococcum geophilum	species	5569
1520881	OSLEUM clade	norank	147547
5036	Histoplasma	genus	299071
251221	Gloeobacter violaceus PCC 7421	norank	33072
3877	Medicago	genus	163742
28211	Alphaproteobacteria	class	1224
27997	Perkinsea	norank	33630
75981	Trebouxiophyceae incertae sedis	norank	75966
197563	Mandibulata	norank	6656
42302	Lasiosphaeriaceae	family	5139
7425	Nasonia vitripennis	species	7424
1783275	TACK group	norank	2157
77658	Daphniidae	family	116561
6934	Parasitiformes	superorder	6933
6403	Hirudinea	subclass	55824
4783	Phytophthora	genus	4776
321614	Parastagonospora nodorum SN15	norank	13684
1150837	Didymella exigua CBS 183.55	norank	100019
10066	Muridae	family	337687
70779	Acropora digitifera	species	6127
2849	Phaeodactylum	genus	38749
43738	Schizophora	norank	480117
347515	Leishmania major strain Friedlin	norank	5664
186801	Clostridia	class	1239
32561	Sauria	norank	8457
452333	Agaricomycetidae	subclass	155619
4836	Phycomyces	genus	1344966
1915381	Nannizzia	genus	34384
10227	Trichoplax	genus	10226
5269	Ustilago	genus	5268
85023	Microbacteriaceae	family	85006
7735	Cephalochordata	subphylum	7711
6243	Rhabditidae	family	55879
5758	Entamoeba	genus	33084
123369	Euacanthomorphacea	norank	123368
40297	Galagidae	family	376917
40302	Nosema ceranae	species	27977
