ncbiID	fullName	rank	parentID
999999101	ANOGA@7165@qfo19_04	strain	7165
999999102	AQUAE@224324@qfo19_04	strain	224324
999999103	ARATH@3702@qfo19_04	strain	3702
999999104	ASPFU@330879@qfo19_04	strain	330879
999999105	BACSU@224308@qfo19_04	strain	224308
999999106	BACTN@226186@qfo19_04	strain	226186
999999107	BATDJ@684364@qfo19_04	strain	684364
999999108	BOVIN@9913@qfo19_04	strain	9913
999999109	BRADU@224911@qfo19_04	strain	224911
999999110	BRAFL@7739@qfo19_04	strain	7739
999999111	CAEEL@6239@qfo19_04	strain	6239
999999112	CANAL@237561@qfo19_04	strain	237561
999999113	CANLF@9615@qfo19_04	strain	9615
999999114	CHICK@9031@qfo19_04	strain	9031
999999115	CHLAA@324602@qfo19_04	strain	324602
999999116	CHLRE@3055@qfo19_04	strain	3055
999999117	CHLTR@272561@qfo19_04	strain	272561
999999118	CIOIN@7719@qfo19_04	strain	7719
999999119	CRYNJ@214684@qfo19_04	strain	214684
999999120	DANRE@7955@qfo19_04	strain	7955
999999121	DEIRA@243230@qfo19_04	strain	243230
999999122	DICDI@44689@qfo19_04	strain	44689
999999123	DICTD@515635@qfo19_04	strain	515635
999999124	DROME@7227@qfo19_04	strain	7227
999999125	ECOLI@83333@qfo19_04	strain	83333
999999126	FUSNN@190304@qfo19_04	strain	190304
999999127	GEOSL@243231@qfo19_04	strain	243231
999999128	GIAIC@184922@qfo19_04	strain	184922
999999129	GLOVI@251221@qfo19_04	strain	251221
999999130	GORGO@9595@qfo19_04	strain	9595
999999131	HALSA@64091@qfo19_04	strain	64091
999999132	HELPY@85962@qfo19_04	strain	85962
999999133	HELRO@6412@qfo19_04	strain	6412
999999134	HUMAN@9606@qfo19_04	strain	9606
999999135	IXOSC@6945@qfo19_04	strain	6945
999999136	KORCO@374847@qfo19_04	strain	374847
999999137	LEIMA@5664@qfo19_04	strain	5664
999999138	LEPIN@189518@qfo19_04	strain	189518
999999139	LEPOC@7918@qfo19_04	strain	7918
999999140	MAIZE@4577@qfo19_04	strain	4577
999999141	METAC@188937@qfo19_04	strain	188937
999999142	METJA@243232@qfo19_04	strain	243232
999999143	MONBE@81824@qfo19_04	strain	81824
999999144	MONDO@13616@qfo19_04	strain	13616
999999145	MOUSE@10090@qfo19_04	strain	10090
999999146	MYCGE@243273@qfo19_04	strain	243273
999999147	MYCTU@83332@qfo19_04	strain	83332
999999148	NEIMB@122586@qfo19_04	strain	122586
999999149	NEMVE@45351@qfo19_04	strain	45351
999999150	NEUCR@367110@qfo19_04	strain	367110
999999151	NITMS@436308@qfo19_04	strain	436308
999999152	ORYLA@8090@qfo19_04	strain	8090
999999153	ORYSJ@39947@qfo19_04	strain	39947
999999154	PANTR@9598@qfo19_04	strain	9598
999999155	PARTE@5888@qfo19_04	strain	5888
999999156	PHANO@321614@qfo19_04	strain	321614
999999157	PHYPA@3218@qfo19_04	strain	3218
999999158	PHYRM@164328@qfo19_04	strain	164328
999999159	PLAF7@36329@qfo19_04	strain	36329
999999160	PSEAE@208964@qfo19_04	strain	208964
999999161	PUCGT@418459@qfo19_04	strain	418459
999999162	RAT@10116@qfo19_04	strain	10116
999999163	RHOBA@243090@qfo19_04	strain	243090
999999164	SACS2@273057@qfo19_04	strain	273057
999999165	SCHPO@284812@qfo19_04	strain	284812
999999166	SCLS1@665079@qfo19_04	strain	665079
999999167	STRCO@100226@qfo19_04	strain	100226
999999168	SYNY3@1111708@qfo19_04	strain	1111708
999999169	THAPS@35128@qfo19_04	strain	35128
999999170	THEKO@69014@qfo19_04	strain	69014
999999171	THEMA@243274@qfo19_04	strain	243274
999999172	THEYD@289376@qfo19_04	strain	289376
999999173	TRICA@7070@qfo19_04	strain	7070
999999174	TRIVA@5722@qfo19_04	strain	5722
999999175	USTMA@237631@qfo19_04	strain	237631
999999176	XENTR@8364@qfo19_04	strain	8364
999999177	YARLI@284591@qfo19_04	strain	284591
999999178	YEAST@559292@qfo19_04	strain	559292
999999201	ANOGA@7165@qfo20_04b	strain	7165
999999202	AQUAE@224324@qfo20_04b	strain	224324
999999203	ARATH@3702@qfo20_04b	strain	3702
999999204	ASPFU@330879@qfo20_04b	strain	330879
999999205	BACSU@224308@qfo20_04b	strain	224308
999999206	BACTN@226186@qfo20_04b	strain	226186
999999207	BATDJ@684364@qfo20_04b	strain	684364
999999208	BOVIN@9913@qfo20_04b	strain	9913
999999209	BRADU@224911@qfo20_04b	strain	224911
999999210	BRAFL@7739@qfo20_04b	strain	7739
999999211	CAEEL@6239@qfo20_04b	strain	6239
999999212	CANAL@237561@qfo20_04b	strain	237561
999999213	CANLF@9615@qfo20_04b	strain	9615
999999214	CHICK@9031@qfo20_04b	strain	9031
999999215	CHLAA@324602@qfo20_04b	strain	324602
999999216	CHLRE@3055@qfo20_04b	strain	3055
999999217	CHLTR@272561@qfo20_04b	strain	272561
999999218	CIOIN@7719@qfo20_04b	strain	7719
999999219	CRYNJ@214684@qfo20_04b	strain	214684
999999220	DANRE@7955@qfo20_04b	strain	7955
999999221	DEIRA@243230@qfo20_04b	strain	243230
999999222	DICDI@44689@qfo20_04b	strain	44689
999999223	DICTD@515635@qfo20_04b	strain	515635
999999224	DROME@7227@qfo20_04b	strain	7227
999999225	ECOLI@83333@qfo20_04b	strain	83333
999999226	FUSNN@190304@qfo20_04b	strain	190304
999999227	GEOSL@243231@qfo20_04b	strain	243231
999999228	GIAIC@184922@qfo20_04b	strain	184922
999999229	GLOVI@251221@qfo20_04b	strain	251221
999999230	GORGO@9595@qfo20_04b	strain	9595
999999231	HALSA@64091@qfo20_04b	strain	64091
999999232	HELPY@85962@qfo20_04b	strain	85962
999999233	HELRO@6412@qfo20_04b	strain	6412
999999234	HUMAN@9606@qfo20_04b	strain	9606
999999235	IXOSC@6945@qfo20_04b	strain	6945
999999236	KORCO@374847@qfo20_04b	strain	374847
999999237	LEIMA@5664@qfo20_04b	strain	5664
999999238	LEPIN@189518@qfo20_04b	strain	189518
999999239	LEPOC@7918@qfo20_04b	strain	7918
999999240	MAIZE@4577@qfo20_04b	strain	4577
999999241	METAC@188937@qfo20_04b	strain	188937
999999242	METJA@243232@qfo20_04b	strain	243232
999999243	MONBE@81824@qfo20_04b	strain	81824
999999244	MONDO@13616@qfo20_04b	strain	13616
999999245	MOUSE@10090@qfo20_04b	strain	10090
999999246	MYCGE@243273@qfo20_04b	strain	243273
999999247	MYCTU@83332@qfo20_04b	strain	83332
999999248	NEIMB@122586@qfo20_04b	strain	122586
999999249	NEMVE@45351@qfo20_04b	strain	45351
999999250	NEUCR@367110@qfo20_04b	strain	367110
999999251	NITMS@436308@qfo20_04b	strain	436308
999999252	ORYLA@8090@qfo20_04b	strain	8090
999999253	ORYSJ@39947@qfo20_04b	strain	39947
999999254	PANTR@9598@qfo20_04b	strain	9598
999999255	PARTE@5888@qfo20_04b	strain	5888
999999256	PHANO@321614@qfo20_04b	strain	321614
999999257	PHYPA@3218@qfo20_04b	strain	3218
999999258	PHYRM@164328@qfo20_04b	strain	164328
999999259	PLAF7@36329@qfo20_04b	strain	36329
999999260	PSEAE@208964@qfo20_04b	strain	208964
999999261	PUCGT@418459@qfo20_04b	strain	418459
999999262	RAT@10116@qfo20_04b	strain	10116
999999263	RHOBA@243090@qfo20_04b	strain	243090
999999264	SACS2@273057@qfo20_04b	strain	273057
999999265	SCHPO@284812@qfo20_04b	strain	284812
999999266	SCLS1@665079@qfo20_04b	strain	665079
999999267	STRCO@100226@qfo20_04b	strain	100226
999999268	SYNY3@1111708@qfo20_04b	strain	1111708
999999269	THAPS@35128@qfo20_04b	strain	35128
999999270	THEKO@69014@qfo20_04b	strain	69014
999999271	THEMA@243274@qfo20_04b	strain	243274
999999272	THEYD@289376@qfo20_04b	strain	289376
999999273	TRICA@7070@qfo20_04b	strain	7070
999999274	TRIVA@5722@qfo20_04b	strain	5722
999999275	USTMA@237631@qfo20_04b	strain	237631
999999276	XENTR@8364@qfo20_04b	strain	8364
999999277	YARLI@284591@qfo20_04b	strain	284591
999999278	YEAST@559292@qfo20_04b	strain	559292
999999301	ANOGA@7165@qfo21_03	strain	7165
999999302	AQUAE@224324@qfo21_03	strain	224324
999999303	ARATH@3702@qfo21_03	strain	3702
999999304	ASPFU@330879@qfo21_03	strain	330879
999999305	BACSU@224308@qfo21_03	strain	224308
999999306	BACTN@226186@qfo21_03	strain	226186
999999307	BATDJ@684364@qfo21_03	strain	684364
999999308	BOVIN@9913@qfo21_03	strain	9913
999999309	BRADU@224911@qfo21_03	strain	224911
999999310	BRAFL@7739@qfo21_03	strain	7739
999999311	CAEEL@6239@qfo21_03	strain	6239
999999312	CANAL@237561@qfo21_03	strain	237561
999999313	CANLF@9615@qfo21_03	strain	9615
999999314	CHICK@9031@qfo21_03	strain	9031
999999315	CHLAA@324602@qfo21_03	strain	324602
999999316	CHLRE@3055@qfo21_03	strain	3055
999999317	CHLTR@272561@qfo21_03	strain	272561
999999318	CIOIN@7719@qfo21_03	strain	7719
999999319	CRYNJ@214684@qfo21_03	strain	214684
999999320	DANRE@7955@qfo21_03	strain	7955
999999321	DEIRA@243230@qfo21_03	strain	243230
999999322	DICDI@44689@qfo21_03	strain	44689
999999323	DICTD@515635@qfo21_03	strain	515635
999999324	DROME@7227@qfo21_03	strain	7227
999999325	ECOLI@83333@qfo21_03	strain	83333
999999326	FUSNN@190304@qfo21_03	strain	190304
999999327	GEOSL@243231@qfo21_03	strain	243231
999999328	GIAIC@184922@qfo21_03	strain	184922
999999329	GLOVI@251221@qfo21_03	strain	251221
999999330	GORGO@9595@qfo21_03	strain	9595
999999331	HALSA@64091@qfo21_03	strain	64091
999999332	HELPY@85962@qfo21_03	strain	85962
999999333	HELRO@6412@qfo21_03	strain	6412
999999334	HUMAN@9606@qfo21_03	strain	9606
999999335	IXOSC@6945@qfo21_03	strain	6945
999999336	KORCO@374847@qfo21_03	strain	374847
999999337	LEIMA@5664@qfo21_03	strain	5664
999999338	LEPIN@189518@qfo21_03	strain	189518
999999339	LEPOC@7918@qfo21_03	strain	7918
999999340	MAIZE@4577@qfo21_03	strain	4577
999999341	METAC@188937@qfo21_03	strain	188937
999999342	METJA@243232@qfo21_03	strain	243232
999999343	MONBE@81824@qfo21_03	strain	81824
999999344	MONDO@13616@qfo21_03	strain	13616
999999345	MOUSE@10090@qfo21_03	strain	10090
999999346	MYCGE@243273@qfo21_03	strain	243273
999999347	MYCTU@83332@qfo21_03	strain	83332
999999348	NEIMB@122586@qfo21_03	strain	122586
999999349	NEMVE@45351@qfo21_03	strain	45351
999999350	NEUCR@367110@qfo21_03	strain	367110
999999351	NITMS@436308@qfo21_03	strain	436308
999999352	ORYLA@8090@qfo21_03	strain	8090
999999353	ORYSJ@39947@qfo21_03	strain	39947
999999354	PANTR@9598@qfo21_03	strain	9598
999999355	PARTE@5888@qfo21_03	strain	5888
999999356	PHANO@321614@qfo21_03	strain	321614
999999357	PHYPA@3218@qfo21_03	strain	3218
999999358	PHYRM@164328@qfo21_03	strain	164328
999999359	PLAF7@36329@qfo21_03	strain	36329
999999360	PSEAE@208964@qfo21_03	strain	208964
999999361	PUCGT@418459@qfo21_03	strain	418459
999999362	RAT@10116@qfo21_03	strain	10116
999999363	RHOBA@243090@qfo21_03	strain	243090
999999364	SACS2@273057@qfo21_03	strain	273057
999999365	SCHPO@284812@qfo21_03	strain	284812
999999366	SCLS1@665079@qfo21_03	strain	665079
999999367	STRCO@100226@qfo21_03	strain	100226
999999368	SYNY3@1111708@qfo21_03	strain	1111708
999999369	THAPS@35128@qfo21_03	strain	35128
999999370	THEKO@69014@qfo21_03	strain	69014
999999371	THEMA@243274@qfo21_03	strain	243274
999999372	THEYD@289376@qfo21_03	strain	289376
999999373	TRICA@7070@qfo21_03	strain	7070
999999374	TRIVA@5722@qfo21_03	strain	5722
999999375	USTMA@237631@qfo21_03	strain	237631
999999376	XENTR@8364@qfo21_03	strain	8364
999999377	YARLI@284591@qfo21_03	strain	284591
999999378	YEAST@559292@qfo21_03	strain	559292
999999401	ANOGA@7165@qfo22_02	strain	7165
999999402	AQUAE@224324@qfo22_02	strain	224324
999999403	ARATH@3702@qfo22_02	strain	3702
999999404	ASPFU@330879@qfo22_02	strain	330879
999999405	BACSU@224308@qfo22_02	strain	224308
999999406	BACTN@226186@qfo22_02	strain	226186
999999407	BATDJ@684364@qfo22_02	strain	684364
999999408	BOVIN@9913@qfo22_02	strain	9913
999999409	BRADU@224911@qfo22_02	strain	224911
999999410	BRAFL@7739@qfo22_02	strain	7739
999999411	CAEEL@6239@qfo22_02	strain	6239
999999412	CANAL@237561@qfo22_02	strain	237561
999999413	CANLF@9615@qfo22_02	strain	9615
999999414	CHICK@9031@qfo22_02	strain	9031
999999415	CHLAA@324602@qfo22_02	strain	324602
999999416	CHLRE@3055@qfo22_02	strain	3055
999999417	CHLTR@272561@qfo22_02	strain	272561
999999418	CIOIN@7719@qfo22_02	strain	7719
999999419	CRYNJ@214684@qfo22_02	strain	214684
999999420	DANRE@7955@qfo22_02	strain	7955
999999421	DEIRA@243230@qfo22_02	strain	243230
