ncbiID	fullName	rank	parentID
329726	Acaryochloris marina MBIC11017	norank	155978
155978	Acaryochloris marina	species	155977
155977	Acaryochloris	genus	1890429
1890429	Acaryochloridaceae	family	1890424
1890424	Synechococcales	order	1117
1117	Cyanobacteria	phylum	1798711
1798711	Cyanobacteria/Melainabacteria group	norank	1783272
1783272	Terrabacteria group	norank	2
2	Bacteria	superkingdom	131567
131567	cellular organisms	norank	1
6277	Acanthocheilonema viteae	species	6276
6276	Acanthocheilonema	genus	6296
6296	Onchocercidae	family	6295
6295	Filarioidea	superfamily	2072716
2072716	Spiruromorpha	infraorder	6274
6274	Spirurida	order	119089
119089	Chromadorea	class	6231
6231	Nematoda	phylum	1206794
1206794	Ecdysozoa	norank	33317
33317	Protostomia	norank	33213
33213	Bilateria	norank	6072
6072	Eumetazoa	norank	33208
33208	Metazoa	kingdom	33154
33154	Opisthokonta	norank	2759
2759	Eukaryota	superkingdom	131567
245562	Acidomyces richmondensis	species	245561
245561	Acidomyces	genus	467990
467990	Capnodiales incertae sedis	norank	134362
134362	Capnodiales	order	451867
451867	Dothideomycetidae	subclass	147541
147541	Dothideomycetes	class	715962
715962	dothideomyceta	norank	716546
716546	leotiomyceta	norank	147538
147538	Pezizomycotina	subphylum	716545
716545	saccharomyceta	norank	4890
4890	Ascomycota	phylum	451864
451864	Dikarya	subkingdom	4751
4751	Fungi	kingdom	33154
70779	Acropora digitifera	species	6127
6127	Acropora	genus	6126
6126	Acroporidae	family	123757
123757	Astrocoeniina	suborder	6125
6125	Scleractinia	order	6102
6102	Hexacorallia	subclass	6101
6101	Anthozoa	class	6073
6073	Cnidaria	phylum	6072
7029	Acyrthosiphon pisum	species	7028
7028	Acyrthosiphon	genus	33386
33386	Macrosiphini	tribe	133076
133076	Aphidinae	subfamily	27482
27482	Aphididae	family	33385
33385	Aphidoidea	superfamily	33380
33380	Aphidomorpha	infraorder	33373
33373	Sternorrhyncha	suborder	7524
7524	Hemiptera	order	33342
33342	Paraneoptera	cohort	33340
33340	Neoptera	infraclass	7496
7496	Pterygota	subclass	85512
85512	Dicondylia	norank	50557
50557	Insecta	class	6960
6960	Hexapoda	subphylum	197562
197562	Pancrustacea	norank	197563
197563	Mandibulata	norank	6656
6656	Arthropoda	phylum	88770
88770	Panarthropoda	norank	1206794
7159	Aedes aegypti	species	53541
53541	Stegomyia	subgenus	7158
7158	Aedes	genus	1056966
1056966	Aedini	tribe	43817
43817	Culicinae	subfamily	7157
7157	Culicidae	family	41827
41827	Culicoidea	superfamily	43786
43786	Culicomorpha	infraorder	7148
7148	Nematocera	suborder	7147
7147	Diptera	order	33392
33392	Holometabola	cohort	33340
380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	norank	196023
196023	Aeromonas hydrophila subsp. hydrophila	subspecies	644
644	Aeromonas hydrophila	species	642
642	Aeromonas	genus	84642
84642	Aeromonadaceae	family	135624
135624	Aeromonadales	order	1236
1236	Gammaproteobacteria	class	1224
1224	Proteobacteria	phylum	2
272557	Aeropyrum pernix K1	norank	56636
56636	Aeropyrum pernix	species	56635
56635	Aeropyrum	genus	2272
2272	Desulfurococcaceae	family	114380
114380	Desulfurococcales	order	183924
183924	Thermoprotei	class	28889
28889	Crenarchaeota	phylum	1783275
1783275	TACK group	norank	2157
2157	Archaea	superkingdom	131567
176299	Agrobacterium fabrum str. C58	norank	1176649
1176649	Agrobacterium fabrum	species	1183400
1183400	Agrobacterium tumefaciens complex	species group	357
357	Agrobacterium	genus	227290
227290	Rhizobium/Agrobacterium group	norank	82115
82115	Rhizobiaceae	family	356
356	Rhizobiales	order	28211
28211	Alphaproteobacteria	class	1224
9646	Ailuropoda melanoleuca	species	9645
9645	Ailuropoda	genus	9632
9632	Ursidae	family	379584
379584	Caniformia	suborder	33554
33554	Carnivora	order	314145
314145	Laurasiatheria	superorder	1437010
1437010	Boreoeutheria	norank	9347
9347	Eutheria	norank	32525
32525	Theria	norank	40674
40674	Mammalia	class	32524
32524	Amniota	norank	32523
32523	Tetrapoda	norank	1338369
1338369	Dipnotetrapodomorpha	norank	8287
8287	Sarcopterygii	superclass	117571
117571	Euteleostomi	norank	117570
117570	Teleostomi	norank	7776
7776	Gnathostomata	norank	7742
7742	Vertebrata	norank	89593
89593	Craniata	subphylum	7711
7711	Chordata	phylum	33511
33511	Deuterostomia	norank	33213
5037	Histoplasma capsulatum	species	5036
5036	Histoplasma	genus	299071
299071	Ajellomycetaceae	family	33183
33183	Onygenales	order	451871
451871	Eurotiomycetidae	subclass	147545
147545	Eurotiomycetes	class	716546
5039	Blastomyces dermatitidis	species	229219
229219	Blastomyces	genus	299071
29001	Alternaria brassicicola	species	5598
5598	Alternaria	genus	28556
28556	Pleosporaceae	family	715340
715340	Pleosporineae	suborder	92860
92860	Pleosporales	order	451868
451868	Pleosporomycetidae	subclass	147541
13333	Amborella trichopoda	species	13332
13332	Amborella	genus	22097
22097	Amborellaceae	family	261009
261009	Amborellales	order	232365
232365	basal Magnoliophyta	norank	3398
3398	Magnoliophyta	norank	58024
58024	Spermatophyta	norank	78536
78536	Euphyllophyta	norank	58023
58023	Tracheophyta	norank	3193
3193	Embryophyta	norank	131221
131221	Streptophytina	subphylum	35493
35493	Streptophyta	phylum	33090
33090	Viridiplantae	kingdom	2759
400682	Amphimedon queenslandica	species	178513
178513	Amphimedon	genus	178475
178475	Niphatidae	family	6049
6049	Haplosclerida	order	1779146
1779146	Heteroscleromorpha	subclass	6042
6042	Demospongiae	class	6040
6040	Porifera	phylum	33208
8839	Anas platyrhynchos	species	8835
8835	Anas	genus	2068716
2068716	Anatinae	subfamily	8830
8830	Anatidae	family	8826
8826	Anseriformes	order	1549675
1549675	Galloanserae	norank	8825
8825	Neognathae	superorder	8782
8782	Aves	class	436492
436492	Coelurosauria	norank	436491
436491	Theropoda	norank	436489
436489	Saurischia	norank	436486
436486	Dinosauria	norank	8492
8492	Archosauria	norank	1329799
1329799	Archelosauria	norank	32561
32561	Sauria	norank	8457
8457	Sauropsida	norank	32524
240292	Trichormus variabilis ATCC 29413	norank	264691
264691	Trichormus variabilis	species	264688
264688	Trichormus	genus	1162
1162	Nostocaceae	family	1161
1161	Nostocales	order	1117
29170	Ancylostoma caninum	species	29169
29169	Ancylostoma	genus	53469
53469	Ancylostomatinae	subfamily	33278
33278	Ancylostomatidae	family	33277
33277	Ancylostomatoidea	superfamily	6308
6308	Strongylida	suborder	6236
6236	Rhabditida	order	119089
53326	Ancylostoma ceylanicum	species	29169
51022	Ancylostoma duodenale	species	29169
6313	Angiostrongylus cantonensis	species	6312
6312	Angiostrongylus	genus	33275
33275	Angiostrongylidae	family	6310
6310	Metastrongyloidea	superfamily	6308
334426	Angiostrongylus costaricensis	species	6312
6269	Anisakis simplex	species	644710
644710	Anisakis simplex complex	norank	6268
6268	Anisakis	genus	6267
6267	Anisakidae	family	33256
33256	Ascaridoidea	superfamily	6249
6249	Ascaridida	order	119089
28377	Anolis carolinensis	species	28376
28376	Anolis	genus	2024747
2024747	Dactyloidae	family	8511
8511	Iguania	suborder	1329911
1329911	Toxicofera	norank	1329912
1329912	Episquamata	norank	1329950
1329950	Unidentata	norank	1329961
1329961	Bifurcata	norank	8509
8509	Squamata	order	8504
8504	Lepidosauria	superorder	32561
7165	Anopheles gambiae	species	44542
44542	gambiae species complex	norank	44537
44537	Pyretophorus	norank	44534
44534	Cellia	subgenus	7164
7164	Anopheles	genus	43816
43816	Anophelinae	subfamily	7157
278021	Antonospora locustae	species	67677
67677	Antonospora	genus	469895
469895	Microsporidia incertae sedis	norank	6029
6029	Microsporidia	phylum	112252
112252	Fungi incertae sedis	norank	4751
7460	Apis mellifera	species	7459
7459	Apis	genus	83321
83321	Apini	tribe	70987
70987	Apinae	subfamily	7458
7458	Apidae	family	34735
34735	Apoidea	superfamily	7434
7434	Aculeata	infraorder	7400
7400	Apocrita	suborder	7399
7399	Hymenoptera	order	33392
218851	Aquilegia coerulea	species	3450
3450	Aquilegia	genus	1463137
1463137	Thalictroideae	subfamily	3440
3440	Ranunculaceae	family	41768
41768	Ranunculales	order	71241
71241	early-diverging eudicotyledons	norank	71240
71240	eudicotyledons	norank	1437183
1437183	Mesangiospermae	norank	3398
59689	Arabidopsis lyrata	species	3701
3701	Arabidopsis	genus	980083
980083	Camelineae	tribe	3700
3700	Brassicaceae	family	3699
3699	Brassicales	order	91836
91836	malvids	norank	71275
71275	rosids	subclass	1437201
1437201	Pentapetalae	norank	91827
91827	Gunneridae	norank	71240
3702	Arabidopsis thaliana	species	3701
2234	Archaeoglobus fulgidus	species	2233
2233	Archaeoglobus	genus	2232
2232	Archaeoglobaceae	family	2231
2231	Archaeoglobales	order	183980
183980	Archaeoglobi	class	28890
28890	Euryarchaeota	phylum	2157
5104	Ascosphaera	genus	5103
5103	Ascosphaeraceae	family	33183
6252	Ascaris lumbricoides	species	6251
6251	Ascaris	genus	6250
6250	Ascarididae	family	33256
6253	Ascaris suum	species	6251
33170	Eremothecium	genus	4893
4893	Saccharomycetaceae	family	4892
4892	Saccharomycetales	order	4891
4891	Saccharomycetes	class	147537
147537	Saccharomycotina	subphylum	716545
5057	Aspergillus clavatus	species	5052
5052	Aspergillus	genus	1131492
