abbrName	ncbiID	fullName	strain	forma	subspecies	species	species subgroup	species group	subgenus	genus	norank_1535325	norank_1593277	subtribe	norank_34035	norank_1113537	norank_118884	tribe	norank_2233855	norank_1648033	norank_2231382	norank_2231393	subfamily	norank_555406	norank_359160	norank_147370	norank_43741	family	norank_43738	superfamily	norank_5863	norank_337687	norank_480117	parvorder	norank_480118	infraorder	suborder	order	norank_159987	norank_33083	norank_355688	norank_314147	norank_33850	norank_9263	norank_91561	norank_91836	norank_91835	norank_1549675	norank_1489922	norank_33682	norank_91888	norank_4734	superorder	norank_142796	norank_554915	norank_1437010	norank_1489872	cohort	norank_9347	norank_123369	norank_32525	norank_123368	norank_123367	norank_123366	norank_123365	norank_1489388	norank_186625	norank_1489341	infraclass	subclass	norank_1520881	norank_1437201	norank_85512	class	norank_3152	norank_91827	norank_715962	norank_715989	norank_71240	norank_436492	norank_716546	norank_1437183	norank_436491	norank_3398	norank_436489	norank_58024	norank_436486	norank_78536	norank_8492	norank_58023	norank_1329799	norank_32561	norank_3193	norank_8457	norank_1783257	norank_32524	norank_32523	norank_1338369	superclass	norank_117571	norank_117570	norank_7776	norank_7742	subphylum	norank_716545	norank_5878	norank_197562	norank_112252	norank_68336	norank_1206795	norank_197563	phylum	norank_1783275	norank_33634	norank_33630	norank_1783270	norank_1798711	norank_33511	subkingdom	norank_88770	norank_1206794	norank_1783272	norank_33317	norank_33213	norank_6072	kingdom	norank_33154	superkingdom	root
ncbi329726	329726	Acaryochloris marina MBIC11017	329726	329726	329726	155978	155978	155978	155978	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	155977	1890429	1890429	1890429	1890429	1890429	1890429	1890429	1890429	1890429	1890429	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1117	1117	1117	1117	1117	1798711	1798711	1798711	1798711	1798711	1783272	1783272	1783272	1783272	1783272	1783272	2	1
ncbi6277	6277	Acanthocheilonema viteae	6277	6277	6277	6277	6277	6277	6277	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6276	6296	6296	6295	6295	6295	6295	6295	6295	2072716	2072716	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	6274	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	119089	6231	6231	6231	6231	6231	6231	6231	6231	6231	1206794	1206794	33317	33213	6072	33208	33154	2759	1
ncbi245562	245562	Acidomyces richmondensis	245562	245562	245562	245562	245562	245562	245562	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	245561	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	134362	451867	451867	451867	451867	147541	147541	147541	715962	715962	715962	715962	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	716546	147538	716545	716545	716545	716545	716545	716545	716545	4890	4890	4890	4890	4890	4890	4890	451864	451864	451864	451864	451864	451864	451864	4751	33154	2759	1
ncbi70779	70779	Acropora digitifera	70779	70779	70779	70779	70779	70779	70779	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6127	6126	6126	6126	6126	6126	6126	6126	6126	6126	123757	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6125	6102	6102	6102	6102	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6101	6073	6073	6073	6073	6073	6073	6073	6073	6073	6073	6073	6073	6073	6072	33208	33154	2759	1
ncbi7029	7029	Acyrthosiphon pisum	7029	7029	7029	7029	7029	7029	7029	7028	7028	7028	7028	7028	7028	7028	33386	33386	33386	33386	33386	133076	133076	133076	133076	133076	27482	27482	33385	33385	33385	33385	33385	33385	33380	33373	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	7524	33342	33342	33342	33342	33342	33342	33342	33342	33342	33342	33342	33340	7496	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	6960	6960	197562	197562	197562	197562	197563	6656	6656	6656	6656	6656	6656	6656	6656	88770	1206794	1206794	33317	33213	6072	33208	33154	2759	1
ncbi7159	7159	Aedes aegypti	7159	7159	7159	7159	7159	7159	53541	7158	7158	7158	7158	7158	7158	7158	1056966	1056966	1056966	1056966	1056966	43817	43817	43817	43817	43817	7157	7157	41827	41827	41827	41827	41827	41827	43786	7148	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	7147	33392	33392	33392	33392	33392	33392	33392	33392	33392	33392	33392	33340	7496	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	6960	6960	197562	197562	197562	197562	197563	6656	6656	6656	6656	6656	6656	6656	6656	88770	1206794	1206794	33317	33213	6072	33208	33154	2759	1
ncbi380703	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	380703	196023	644	644	644	644	642	642	642	642	642	642	642	642	642	642	642	642	642	642	642	642	642	84642	84642	84642	84642	84642	84642	84642	84642	84642	84642	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	135624	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	2	1
ncbi272557	272557	Aeropyrum pernix K1	272557	272557	272557	56636	56636	56636	56636	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	56635	2272	2272	2272	2272	2272	2272	2272	2272	2272	2272	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	114380	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	183924	28889	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	1783275	2157	1
ncbi176299	176299	Agrobacterium fabrum str. C58	176299	176299	176299	1176649	1176649	1183400	1183400	357	357	357	357	357	357	357	357	357	357	357	357	357	357	357	357	357	82115	82115	82115	82115	82115	82115	82115	82115	82115	82115	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	2	1
ncbi9646	9646	Ailuropoda melanoleuca	9646	9646	9646	9646	9646	9646	9646	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9645	9632	9632	9632	9632	9632	9632	9632	9632	9632	379584	33554	33554	33554	33554	33554	33554	33554	33554	33554	33554	33554	33554	33554	33554	33554	314145	314145	314145	1437010	1437010	1437010	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32523	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	1
