ncbiID	fullName	rank	parentID
92000001	Acinetobacter baumannii 92000001	norank	470
92000002	Acinetobacter baumannii 92000002	norank	470
92000003	Acinetobacter baumannii 92000003	norank	470
92000004	Acinetobacter seifertii 92000004	norank	1530123
92000005	Acinetobacter baumannii 92000005	norank	470
92000006	Acinetobacter baumannii 92000006	norank	470
92000007	Acinetobacter baumannii 92000007	norank	470
92000008	Acinetobacter baumannii 92000008	norank	470
92000009	Acinetobacter baumannii 92000009	norank	470
92000010	Acinetobacter baumannii 92000010	norank	470
92000011	Acinetobacter baumannii 92000011	norank	470
92000012	Acinetobacter baumannii 92000012	norank	470
92000013	Acinetobacter baumannii 92000013	norank	470
92000014	Acinetobacter baumannii 92000014	norank	470
92000015	Acinetobacter baumannii 92000015	norank	470
92000016	Acinetobacter baumannii 92000016	norank	470
92000017	Acinetobacter baumannii 92000017	norank	470
92000018	Acinetobacter baumannii 92000018	norank	470
92000019	Acinetobacter baumannii 92000019	norank	470
92000020	Acinetobacter baumannii 92000020	norank	470
92000021	Acinetobacter baumannii 92000021	norank	470
92000022	Acinetobacter baumannii 92000022	norank	470
92000023	Acinetobacter baumannii 92000023	norank	470
92000024	Acinetobacter baumannii 92000024	norank	470
92000025	Acinetobacter baumannii 92000025	norank	470
92000026	Acinetobacter baumannii 92000026	norank	470
92000027	Acinetobacter baumannii 92000027	norank	470
92000028	Acinetobacter baumannii 92000028	norank	470
92000029	Acinetobacter baumannii 92000029	norank	470
92000030	Acinetobacter baumannii 92000030	norank	470
92000031	Acinetobacter baumannii 92000031	norank	470
92000032	Acinetobacter baumannii 92000032	norank	470
92000033	Acinetobacter baumannii 92000033	norank	470
92000034	Acinetobacter baumannii 92000034	norank	470
92000035	Acinetobacter baumannii 92000035	norank	470
92000036	Acinetobacter baumannii 92000036	norank	470
92000037	Acinetobacter baumannii 92000037	norank	470
92000038	Acinetobacter baumannii 92000038	norank	470
92000039	Acinetobacter baumannii 92000039	norank	470
92000040	Acinetobacter baumannii 92000040	norank	470
92000041	Acinetobacter baumannii 92000041	norank	470
92000042	Acinetobacter baumannii 92000042	norank	470
92000043	Acinetobacter baumannii 92000043	norank	470
92000044	Acinetobacter baumannii 92000044	norank	470
92000045	Acinetobacter baumannii 92000045	norank	470
92000046	Acinetobacter baumannii 92000046	norank	470
92000047	Acinetobacter baumannii 92000047	norank	470
92000048	Acinetobacter baumannii 92000048	norank	470
92000049	Acinetobacter baumannii 92000049	norank	470
92000050	Acinetobacter baumannii 92000050	norank	470
92000051	Acinetobacter baumannii 92000051	norank	470
92000052	Acinetobacter baumannii 92000052	norank	470
92000053	Acinetobacter baumannii 92000053	norank	470
92000054	Acinetobacter baumannii 92000054	norank	470
92000055	Acinetobacter baumannii 92000055	norank	470
92000056	Acinetobacter baumannii 92000056	norank	470
92000057	Acinetobacter baumannii 92000057	norank	470
92000058	Acinetobacter baumannii 92000058	norank	470
92000059	Acinetobacter baumannii 92000059	norank	470
92000060	Acinetobacter baumannii 92000060	norank	470
92000061	Acinetobacter baumannii 92000061	norank	470
92000062	Acinetobacter baumannii 92000062	norank	470
92000063	Acinetobacter baumannii 92000063	norank	470
92000064	Acinetobacter baumannii 92000064	norank	470
92000065	Acinetobacter baumannii 92000065	norank	470
92000066	Acinetobacter baumannii 92000066	norank	470
92000067	Acinetobacter baumannii 92000067	norank	470
92000068	Acinetobacter baumannii 92000068	norank	470
92000069	Acinetobacter baumannii 92000069	norank	470
92000070	Acinetobacter baumannii 92000070	norank	470
92000071	Acinetobacter baumannii 92000071	norank	470
92000072	Acinetobacter baumannii 92000072	norank	470
92000073	Acinetobacter baumannii 92000073	norank	470
92000074	Acinetobacter baumannii 92000074	norank	470
92000075	Acinetobacter baumannii 92000075	norank	470
92000076	Acinetobacter baumannii 92000076	norank	470
92000077	Acinetobacter baumannii 92000077	norank	470
92000078	Acinetobacter baumannii 92000078	norank	470
92000079	Acinetobacter baumannii 92000079	norank	470
92000080	Acinetobacter baumannii 92000080	norank	470
92000081	Acinetobacter baumannii 92000081	norank	470
92000082	Acinetobacter baumannii 92000082	norank	470
92000083	Acinetobacter baumannii 92000083	norank	470
92000084	Acinetobacter baumannii 92000084	norank	470
92000085	Acinetobacter baumannii 92000085	norank	470
92000086	Acinetobacter baumannii 92000086	norank	470
92000087	Acinetobacter baumannii 92000087	norank	470
92000088	Acinetobacter baumannii 92000088	norank	470
92000089	Acinetobacter baumannii 92000089	norank	470
92000090	Acinetobacter baumannii 92000090	norank	470
92000091	Acinetobacter baumannii 92000091	norank	470
92000092	Acinetobacter baumannii 92000092	norank	470
92000093	Acinetobacter baumannii 92000093	norank	470
92000094	Acinetobacter baumannii 92000094	norank	470
92000095	Acinetobacter baumannii 92000095	norank	470
92000096	Acinetobacter baumannii 92000096	norank	470
92000097	Acinetobacter baumannii 92000097	norank	470
92000098	Acinetobacter baumannii 92000098	norank	470
92000099	Acinetobacter baumannii 92000099	norank	470
92000100	Acinetobacter baumannii 92000100	norank	470
92000101	Acinetobacter baumannii 92000101	norank	470
92000102	Acinetobacter baumannii 92000102	norank	470
92000103	Acinetobacter baumannii 92000103	norank	470
92000104	Acinetobacter baumannii 92000104	norank	470
92000105	Acinetobacter baumannii 92000105	norank	470
92000106	Acinetobacter sp. 92000106	norank	1217692
92000107	Acinetobacter baumannii 92000107	norank	470
92000108	Acinetobacter baumannii 92000108	norank	470
92000109	Acinetobacter baumannii 92000109	norank	470
92000110	Acinetobacter pittii 92000110	norank	48296
92000111	Acinetobacter baumannii 92000111	norank	470
92000112	Acinetobacter baumannii 92000112	norank	470
92000113	Acinetobacter baumannii 92000113	norank	470
92000114	Acinetobacter sp. 92000114	norank	1217692
92000115	Acinetobacter baumannii 92000115	norank	470
92000116	Acinetobacter baumannii 92000116	norank	470
92000117	Acinetobacter baumannii 92000117	norank	470
92000118	Acinetobacter baumannii 92000118	norank	470
92000119	Acinetobacter baumannii 92000119	norank	470
92000120	Acinetobacter baumannii 92000120	norank	470
92000121	Acinetobacter baumannii 92000121	norank	470
92000122	Acinetobacter baumannii 92000122	norank	470
92000123	Acinetobacter baumannii 92000123	norank	470
92000124	Acinetobacter baumannii 92000124	norank	470
92000125	Acinetobacter baumannii 92000125	norank	470
92000126	Acinetobacter baumannii 92000126	norank	470
92000127	Acinetobacter baumannii 92000127	norank	470
92000128	Acinetobacter baumannii 92000128	norank	470
92000129	Acinetobacter baumannii 92000129	norank	470
92000130	Acinetobacter baumannii 92000130	norank	470
92000131	Acinetobacter baumannii 92000131	norank	470
92000132	Acinetobacter baumannii 92000132	norank	470
92000133	Acinetobacter baumannii 92000133	norank	470
92000134	Acinetobacter nosocomialis 92000134	norank	106654
92000135	Acinetobacter baumannii 92000135	norank	470
92000136	Acinetobacter baumannii 92000136	norank	470
92000137	Acinetobacter baumannii 92000137	norank	470
92000138	Acinetobacter baumannii 92000138	norank	470
92000139	Acinetobacter baumannii 92000139	norank	470
92000140	Acinetobacter baumannii 92000140	norank	470
92000141	Acinetobacter baumannii 92000141	norank	470
92000142	Acinetobacter baumannii 92000142	norank	470
92000143	Acinetobacter baumannii 92000143	norank	470
92000144	Acinetobacter baumannii 92000144	norank	470
92000145	Acinetobacter baumannii 92000145	norank	470
92000146	Acinetobacter baumannii 92000146	norank	470
92000147	Acinetobacter baumannii 92000147	norank	470
92000148	Acinetobacter baumannii 92000148	norank	470
92000149	Acinetobacter baumannii 92000149	norank	470
92000150	Acinetobacter baumannii 92000150	norank	470
92000151	Acinetobacter baumannii 92000151	norank	470
92000152	Acinetobacter baumannii 92000152	norank	470
92000153	Acinetobacter baumannii 92000153	norank	470
92000154	Acinetobacter baumannii 92000154	norank	470
92000155	Acinetobacter baumannii 92000155	norank	470
92000156	Acinetobacter baumannii 92000156	norank	470
92000157	Acinetobacter baumannii 92000157	norank	470
92000158	Acinetobacter baumannii 92000158	norank	470
92000159	Acinetobacter baumannii 92000159	norank	470
92000160	Acinetobacter baumannii 92000160	norank	470
92000161	Acinetobacter baumannii 92000161	norank	470
92000162	Acinetobacter baumannii 92000162	norank	470
92000163	Acinetobacter baumannii 92000163	norank	470
92000164	Acinetobacter baumannii 92000164	norank	470
92000165	Acinetobacter baumannii 92000165	norank	470
92000166	Acinetobacter baumannii 92000166	norank	470
92000167	Acinetobacter baumannii 92000167	norank	470
92000168	Acinetobacter baumannii 92000168	norank	470
92000169	Acinetobacter baumannii 92000169	norank	470
92000170	Acinetobacter baumannii 92000170	norank	470
92000171	Acinetobacter baumannii 92000171	norank	470
