abbrName	ncbiID	fullName	strain	forma	subspecies	varietas	species	speciessubgroup	norank_1897064	norank_232080	norank_254878	species group	speciesgroup	subgenus	genus	norank_34035	subtribe	norank_1535325	norank_1593277	norank_33084	norank_1113537	norank_1142503	norank_29197	norank_118884	tribe	norank_555406	norank_1648033	norank_1648038	subfamily	norank_319095	norank_359160	norank_147370	family	norank_469895	superfamily	norank_5863	norank_1924738	norank_75981	norank_337687	norank_5738	norank_207245	norank_104431	norank_43741	norank_37567	norank_43738	parvorder	norank_480117	norank_480118	infraorder	suborder	norank_7400	order	norank_142796	norank_159987	norank_355688	norank_1521260	norank_9263	norank_314147	norank_91561	norank_91835	norank_117569	norank_33850	norank_33846	norank_136419	norank_91836	norank_1549675	norank_33682	norank_1489922	norank_91888	norank_4734	norank_85604	superorder	norank_554915	norank_1476529	norank_543769	norank_1437010	norank_1489908	cohort	norank_186626	norank_9347	norank_1489872	norank_32519	norank_32525	norank_123369	norank_186634	norank_123368	norank_123367	norank_123366	norank_123365	norank_1489388	norank_186625	norank_1489341	infraclass	subclass	norank_1520881	norank_1437201	norank_7496	norank_1437197	norank_91827	norank_85512	class	norank_1280412	norank_71240	norank_42461	norank_715962	norank_715989	norank_3152	norank_2763	norank_404260	superclass	norank_436492	norank_1437183	norank_716546	norank_3208	norank_436491	norank_3398	norank_436489	norank_58024	norank_436486	norank_78536	norank_58023	norank_8492	norank_3193	norank_1329799	norank_131221	norank_32561	norank_8457	norank_32524	norank_32523	norank_1338369	norank_8287	norank_117571	norank_117570	norank_5878	norank_7776	norank_7742	subphylum	norank_1783275	norank_1798711	norank_68336	norank_1783257	norank_1783272	norank_716545	norank_1783270	norank_197562	norank_197563	phylum	norank_33634	norank_33630	norank_33511	norank_1206795	subkingdom	norank_88770	norank_1206794	norank_33317	norank_33213	norank_6072	kingdom	norank_33154	superkingdom	norank_131567	no rank	root
ncbi10020	10020	Dipodomys ordii	10020	10020	10020	10020	10020	10020	10020	10020	10020	10020	10020	10020	10016	10016	10016	10016	10016	10016	10016	10016	10016	10016	10016	10016	10016	10016	38662	38662	38662	38662	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	10015	33553	33553	9989	9989	9989	9989	9989	9989	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32523	1338369	8287	117571	117570	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	131567	131567	1
ncbi10090	10090	Mus musculus	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	862507	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	39107	39107	39107	39107	10066	10066	10066	10066	10066	10066	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	33553	33553	9989	9989	9989	9989	9989	9989	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32523	1338369	8287	117571	117570	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	131567	131567	1
ncbi10116	10116	Rattus norvegicus	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	39107	39107	39107	39107	10066	10066	10066	10066	10066	10066	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	33553	33553	9989	9989	9989	9989	9989	9989	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32523	1338369	8287	117571	117570	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	131567	131567	1
ncbi10141	10141	Cavia porcellus	10141	10141	10141	10141	10141	10141	10141	10141	10141	10141	10141	10141	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10140	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	10139	33550	33550	9989	9989	9989	9989	9989	9989	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314147	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32523	1338369	8287	117571	117570	117570	7776	7742	89593	89593	89593	89593	89593	89593	89593	89593	89593	89593	7711	7711	7711	33511	33511	33511	33511	33511	33511	33213	6072	33208	33154	2759	131567	131567	1
ncbi10228	10228	Trichoplax adhaerens	10228	10228	10228	10228	10228	10228	10228	10228	10228	10228	10228	10228	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10227	10226	10226	10226	10226	10226	10226	10226	10226	10226	10226	10226	33208	33154	2759	131567	131567	1
ncbi103449	103449	Vavraia culicis	103449	103449	103449	103449	103449	103449	103449	103449	103449	103449	103449	103449	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35235	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	35232	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6036	6029	6029	6029	6029	6029	6029	6029	6029	6029	6029	6029	4751	33154	2759	131567	131567	1
ncbi104341	104341	Postia placenta	104341	104341	104341	104341	104341	104341	104341	104341	104341	104341	104341	104341	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83235	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	83233	5303	5303	5303	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	355688	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	155619	5302	5302	5302	5302	5302	5302	5302	5302	5302	5302	5204	5204	5204	5204	5204	451864	451864	451864	451864	451864	451864	4751	33154	2759	131567	131567	1
ncbi109760	109760	Spizellomyces punctatus	109760	109760	109760	109760	109760	109760	109760	109760	109760	109760	109760	109760	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	4815	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34479	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	34478	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	4761	4761	4761	4761	4761	4761	4761	4761	4761	4761	4761	4751	33154	2759	131567	131567	1
ncbi109871	109871	Batrachochytrium dendrobatidis	109871	109871	109871	109871	109871	109871	109871	109871	109871	109871	109871	109871	100474	100474	100474	100474	100474	100474	100474	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	1142503	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451442	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	451435	4761	4761	4761	4761	4761	4761	4761	4761	4761	4761	4761	4751	33154	2759	131567	131567	1
ncbi121225	121225	Pediculus humanus	121225	121225	121225	121225	121225	121225	121225	121225	121225	121225	121225	121225	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121222	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	121221	30005	30005	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	85819	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	1930602	33342	33340	33340	33340	7496	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	6960	197562	197563	6656	6656	6656	6656	6656	6656	88770	1206794	33317	33213	6072	33208	33154	2759	131567	131567	1
