geneID	ncbiID	orthoID
RATNO03709	ncbi7739	BRAFL27717
RATNO03709	ncbi7918	LEPOC07600
RATNO03709	ncbi31033	TAKRU08193
RATNO03709	ncbi99883	TETNG14538
RATNO03709	ncbi105023	NOTFU06134
RATNO03709	ncbi48698	POEFO23484
RATNO03709	ncbi8083	XIPMA15149
RATNO03709	ncbi7994	ASTMX06971
RATNO03709	ncbi7955	DANRE37950
RATNO03709	ncbi7897	LATCH09430
RATNO03709	ncbi9258	ORNAN18549
RATNO03709	ncbi9813	PROCA13763
RATNO03709	ncbi9785	LOXAF07966
RATNO03709	ncbi9986	RABIT07194
RATNO03709	ncbi9978	OCHPR09614
RATNO03709	ncbi10020	DIPOR03823
RATNO03709	ncbi885580	FUKDA10289
RATNO03709	ncbi10141	CAVPO05596
RATNO03709	ncbi10160	OCTDE17079
RATNO03709	ncbi51337	JACJA21132
RATNO03709	ncbi10090	MOUSE04048
RATNO03709	ncbi10116	RATNO03709
RATNO03709	ncbi1026970	NANGA01861
RATNO03709	ncbi43179	ICTTR16590
RATNO03709	ncbi60711	CHLSB05213
RATNO03709	ncbi9544	MACMU09316
RATNO03709	ncbi9555	PAPAN07290
RATNO03709	ncbi9595	GORGO08437
RATNO03709	ncbi9606	HUMAN11954
RATNO03709	ncbi9597	PANPA16293
RATNO03709	ncbi9598	PANTR13510
RATNO03709	ncbi9601	PONAB18042
RATNO03709	ncbi61853	NOMLE13164
RATNO03709	ncbi9483	CALJA16435
RATNO03709	ncbi1868482	TARSY01329
RATNO03709	ncbi30608	MICMU08634
RATNO03709	ncbi30611	OTOGA10898
RATNO03709	ncbi37347	TUPBE02085
RATNO03709	ncbi9615	CANLF15455
RATNO03709	ncbi9669	MUSPF10132
RATNO03709	ncbi9646	AILME07425
RATNO03709	ncbi9685	FELCA14705
RATNO03709	ncbi9739	TURTR13574
RATNO03709	ncbi9913	BOVIN07693
RATNO03709	ncbi9940	SHEEP02764
RATNO03709	ncbi9823	PIGXX03607
RATNO03709	ncbi30538	VICPA11341
RATNO03709	ncbi132908	PTEVA15490
RATNO03709	ncbi59463	MYOLU18350
